1	128	163
2	68	111
3	199	330
4	36	47
5	88	128
6	53	67
7	25	38
8	57	87
9	247	319
10	90	146
11	68	95
12	113	136
13	238	345
14	52	89
15	78	92
16	203	331
17	66	98
18	6	11
19	65	86
20	223	294
21	123	168
22	139	204
23	123	162
24	16	22
25	113	169
26	17	38
27	60	68
28	95	151
29	48	109
30	43	60
31	176	291
32	11	17
33	3	5
34	206	265
35	211	325
36	63	73
37	96	154
38	1	1
39	90	115
40	158	202
41	106	151
42	59	94
43	196	262
44	30	45
45	46	61
46	3	4
47	115	143
48	16	24
49	24	34
50	71	90
51	48	66
52	25	37
53	77	116
54	72	93
55	91	132
56	62	102
57	16	21
58	64	133
59	32	38
60	51	61
61	72	108
62	31	49
63	44	59
64	1	1
65	21	32
66	36	53
67	8	17
68	7	10
69	23	28
70	14	21
71	8	8
72	16	25
73	42	55
74	4	6
75	5	7
76	21	27
77	14	20
78	0	5
79	5	6
80	9	11
81	9	12
82	3	3
83	5	7
84	7	13
85	4	16
86	4	4
87	2	4
88	15	22
89	8	10
90	25	28
91	3	6
92	1	1
93	0	1
94	14	21
95	4	6
96	4	4
97	4	7
98	3	3
99	5	9
100	0	1
101	0	1
102	8	9
103	1	1
104	1	1
105	2	2
106	1	1
107	4	6
108	1	1
109	1	2
